"","PlayerName","pos","points","value"
"1","Andrew Luck","qb",397.07,99.0056846586339
"2","Aaron Rodgers","qb",390.682,94.5363791646351
"3","Peyton Manning","qb",368.386,78.9371876658565
"4","Drew Brees","qb",357.226,71.1291962267477
"5","Russell Wilson","qb",349.848,65.9672463308925
"6","Marshawn Lynch","rb",213.36,62.4669433586827
"7","Adrian Peterson","rb",210.01,60.1231466453302
"8","Eddie Lacy","rb",209.26,59.5984160378632
"9","Matt Ryan","qb",340.388,59.3486442687089
"10","Jamaal Charles","rb",208.47,59.045699797998
"11","Tony Romo","qb",332.012,53.4884528445176
"12","Ben Roethlisberger","qb",325,48.5825714851063
"13","Demaryius Thomas","wr",137.72,46.504638279537
"14","C.J. Anderson","rb",189.915,46.0638645692648
"15","Le'Veon Bell","rb",189.57,45.82248848983
"16","Matthew Stafford","qb",320.244,45.2550797929557
"17","Antonio Brown","wr",135.21,44.7485398465475
"18","Dez Bryant","wr",132.98,43.1883408403457
"19","Matt Forte","rb",185.745,43.1463623917483
"20","Cam Newton","qb",316.07,42.3347790521994
"21","Philip Rivers","qb",315.622,42.0213399693391
"22","LeSean McCoy","rb",183.91,41.8625215054791
"23","Odell Beckham Jr.","wr",130.93,41.7540771799359
"24","Ryan Tannehill","qb",314.6,41.3063070615641
"25","DeMarco Murray","rb",182.375,40.7885728621967
"26","Jeremy Hill","rb",182.25,40.7011177609522
"27","Rob Gronkowski","te",112.21,39.6271691176697
"28","Eli Manning","qb",309.6,37.8081030117841
"29","Calvin Johnson","wr",125.17,37.7241461145895
"30","Randall Cobb","wr",124.865,37.5107556675529
"31","Julio Jones","wr",118.555,33.0960221567306
"32","Alshon Jeffery","wr",112.075,28.5623497082159
"33","A.J. Green","wr",111.55,28.195038282989
"34","Joe Flacco","qb",295.562,27.9865453216221
"35","Mark Ingram","rb",162.255,26.7117997658823
"36","Lamar Miller","rb",162.125,26.620846460588
"37","Jay Cutler","qb",293.258,26.3745728954835
"38","Justin Forsett","rb",161.735,26.3479865447052
"39","Mike Evans","wr",107.635,25.4559445120113
"40","Jimmy Graham","te",91.755,25.3160163500201
"41","Alfred Morris","rb",158.585,24.1441179933438
"42","Colin Kaepernick","qb",287.986,22.6860665453956
"43","Emmanuel Sanders","wr",103.485,22.552435150694
"44","T.Y. Hilton","wr",103.435,22.5174531101962
"45","Melvin Gordon","rb",152.57,19.9357785214586
"46","Teddy Bridgewater","qb",283.806,19.7615679597796
"47","Carlos Hyde","rb",152.015,19.547477871933
"48","Frank Gore","rb",150.675,18.6099591865921
